R45978155,20121002,20130106,105
R991910415,20121003,20130109,88
R417470977,20121023,20130111,82
R365438061,20121027,20130111,66
R404215878,20121116,20130108,56
R255097712,20121121,20121230,56
R252725140,20121121,20130110,87
R477447736,20121121,20130103,63
R93582642,20121121,20130105,66
R997532920,20121121,20130108,95
R230893161,20121122,20130111,52
R153234254,20121122,20130106,61
R325646249,20121122,20130109,58
R13164017,20121124,20130105,60
R678579713,20121124,20130112,59
R576219788,20121126,20130112,63
R648095778,20121126,20130109,55
R349355336,20121126,20130108,46
R650711769,20121127,20130108,55
R537917798,20121127,20130104,54
R897767104,20121127,20130106,56
R495969508,20121127,20130112,46
R904018621,20121127,20130107,72
R686999987,20121127,20130104,63
R129158554,20121127,20130108,62
R506442639,20121127,20130110,58
R585074318,20121127,20130102,52
R922575194,20121127,20130107,54
R748632731,20121127,20130105,56
R79780512,20121127,20130112,60
R926115346,20121127,20130111,54
R533879921,20121127,20130106,59
R20042326,20121127,20130110,83
R539806999,20121127,20130104,53
R700771779,20121127,20130105,40
R495267084,20121127,20130108,54
R733242595,20121127,20130102,45
R924114456,20121127,20130101,67
R586285516,20121127,20121230,37
R970852298,20121127,20130104,56
R41916866,20121127,20130106,49
R786098426,20121127,20130102,36
R360967375,20121127,20130112,63
R377286599,20121127,20130111,53
R714220783,20121127,20130112,58
R857413418,20121127,20130108,59
R742283698,20121127,20130107,50
R306737613,20121127,20130103,58
R375693547,20121127,20130104,52
R440622881,20121127,20130101,62
R299963217,20121127,20130112,71
R424935078,20121127,20130112,50
R82402946,20121127,20130111,73
R162751319,20121127,20130105,48
R700128090,20121127,20121229,34
R86351973,20121127,20130110,54
R59377803,20121127,20121231,44
R217217925,20121127,20130109,37
R256967382,20121127,20130112,62
R950499943,20121127,20130107,46
R960419150,20121127,20130105,57
R743068372,20121127,20130110,58
R309201179,20121127,20130108,75
R18732058,20121127,20121231,59
R800305793,20121127,20130104,50
R763840852,20121127,20130109,52
R516206252,20121127,20130107,64
R831278306,20121127,20130107,46
R19910489,20121127,20130106,43
R384368512,20121127,20130102,39
R515834986,20121127,20130102,53
R237120444,20121127,20130112,47
R694968987,20121127,20130112,49
R502964248,20121127,20130109,62
R940682205,20121127,20130112,59
R247215462,20121127,20130112,54
R402783742,20121127,20121230,55
R982320847,20121127,20130112,76
R406406678,20121127,20130109,46
R958158168,20121127,20130102,41
R323498109,20121127,20130111,63
R110744074,20121127,20130112,61
R271775537,20121127,20130104,56
R129948541,20121127,20130102,43
R151895642,20121127,20130107,49
R78060251,20121127,20130109,68
R207534601,20121127,20130105,57
R336981321,20121127,20130106,56
R569712985,20121127,20130103,44
R607987028,20121127,20130106,45
R512038938,20121202,20130106,46
R859859079,20121202,20130107,45
R41891228,20121202,20130112,44
R698972275,20121204,20130111,34
R518842296,20121204,20130109,58
R778700186,20121204,20130108,54
R180633341,20121204,20130110,38
R827859024,20121204,20130102,65
R856175168,20121204,20130111,38
R172633300,20121204,20130104,40
R978933951,20121204,20121231,25
R742514767,20121204,20130104,52
R721158131,20121204,20130107,65
R234335092,20121204,20130112,57
R951203201,20121204,20130110,51
R832009181,20121204,20130107,55
R551641531,20121204,20130108,37
R281997888,20121204,20130110,53
R843554502,20121204,20130104,46
R444735410,20121204,20130106,44
R297294465,20121204,20130104,45
R162396482,20121204,20130105,45
R44290548,20121204,20130110,41
R58287090,20121204,20130104,37
R519629157,20121204,20130108,46
R947326389,20121204,20130108,49
R8444979,20121204,20130112,63
R526938734,20121204,20130107,56
R275336861,20121204,20130108,49
R562910379,20121204,20130103,36
R624850762,20121204,20130108,45
R290734253,20121204,20130111,34
R469708821,20121204,20130105,34
R93295863,20121204,20130109,47
R793438140,20121204,20130107,42
R791572680,20121204,20130104,64
R130909118,20121204,20130110,44
R991598367,20121204,20130105,36
R72046142,20121205,20130111,44
R175925166,20121207,20130105,54
R530588939,20121210,20130103,51
R639763558,20121210,20130107,43
R446813547,20121210,20130106,35
R222484622,20121212,20130105,34
R499453692,20121212,20130111,38
R735926777,20121212,20130110,35
R174738116,20121212,20130102,24
R270488424,20121212,20130109,38
R753561177,20121212,20130109,32
R413905748,20121212,20130109,26
R825834106,20121212,20130112,50
R149886323,20121212,20130110,46
R897043466,20121212,20130108,43
R150476115,20121212,20130110,32
R709460252,20121212,20130112,34
R681413260,20121212,20130110,38
R491940270,20121212,20130109,36
R874476889,20121212,20130111,41
R190161828,20121212,20130110,41
R925514259,20121212,20130110,27
R581000872,20121212,20130111,42
R796881964,20121212,20130107,54
R511357411,20121212,20130111,34
R34786634,20121212,20130110,39
R895400728,20121212,20130109,49
R829449181,20121212,20130112,43
R997935580,20121212,20130107,30
R592311751,20121212,20130111,29
R344145288,20121212,20130105,35
R847513334,20121212,20130108,48
R945556890,20121214,20130111,31
R52156573,20121214,20130112,53
R321635929,20121214,20130111,34
R126275773,20121217,20130101,20
R105740584,20121219,20130112,43
R733604527,20121223,20130112,36
R167267157,20121224,20130106,26
R600149882,20121225,20130112,24
R459472228,20121225,20130112,15
R511887559,20121225,20130109,11
R180968150,20121225,20130112,15
R809570293,20121225,20130111,15
R901723014,20121225,20130104,12
R273553465,20121225,20130112,14
R608628310,20121226,20130107,15
R251639954,20121226,20130111,32
R795208844,20121227,20130108,12
R777731445,20121227,20130112,19
R9088271,20121228,20130111,10
R601732154,20121229,20130104,15
R153645502,20121229,20130112,16
R788254383,20121229,20130110,18
R132876440,20121229,20130106,11
R936560041,20121229,20130108,20
R936974092,20121230,20130104,7
R534198019,20121230,20130106,7
R594332105,20121230,20130111,14
R883180983,20121231,20130111,10
R637182235,20130101,20130109,16
R894736939,20130102,20130111,11
R427393961,20130104,20130110,10
R401823083,20130104,20130112,12
R883538575,20130104,20130109,14
R457812419,20130104,20130112,18
R450797730,20130104,20130110,6
R813807013,20130104,20130111,11
R438804316,20130104,20130110,14
R432517718,20130105,20130109,3
R800566005,20130105,20130111,7
R186115429,20130105,20130111,10
R614612735,20130105,20130106,3
R652611456,20130105,20130109,7
R128884122,20130105,20130112,12
R507279673,20130105,20130107,3
R127827685,20130105,20130110,15
R551157984,20130105,20130112,6
R153389609,20130106,20130112,14
R35071252,20130106,20130110,3
R735587841,20130106,20130110,3
R516440305,20130106,20011231,0
R806400928,20130106,20130109,3
R948994454,20130107,20130110,10
R22818002,20130107,20130109,3
R387856590,20130107,20130112,7
R19275852,20130107,20130112,7
R785257658,20130108,20130110,3
R547665849,20130108,20130109,3
R348548499,20130108,20130110,4
R210731257,20130108,20011231,0
R793733970,20130108,20130110,3
R539958184,20130108,20130112,3
R793215384,20130109,20130112,8
R52723561,20130109,20011231,0
R365811134,20130109,20130112,4
R57884769,20130109,20011231,0
R332137044,20130109,20011231,0
R663130497,20130109,20011231,0
R843170585,20130109,20130111,3
R60395511,20130109,20011231,0
R252500027,20130109,20130111,3
R376131213,20130109,20011231,0
R990652945,20130110,20011231,0
R713079033,20130110,20130112,3
R352648970,20130110,20011231,0
R243813916,20130110,20011231,0
R780319948,20130111,20130112,4
R105425482,20130111,20130111,4
R550176972,20130111,20130112,8
R989120653,20130111,20011231,0
R841817416,20130111,20011231,0
R209695390,20130112,20011231,0
R320432995,20130112,20130112,4
R756242634,20130112,20011231,0
R673149212,20130112,20011231,0
R482649637,20130112,20011231,0
R853460865,20130112,20011231,0
R250770866,20130112,20011231,0
